sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf
0.6802865889792281,103,RYR,86.0,83641.06590992374,15323.791393003628,463.50736128,EIN,AGP,27,Málaga
0.6783024861617414,103,TRA,86.0,83641.06590992374,15323.791393003628,463.50736128,EIN,ALC,27,Alicante
0.6773125598100858,103,RYR,86.0,83641.06590992374,15323.791393003628,388.88697393,EIN,GRO,27,Girona
0.6783024861617414,103,RYR,86.0,83641.06590992374,15323.791393003628,388.88697393,EIN,IBZ,27,Ibiza
0.6783024861617414,103,RYR,86.0,83641.06590992374,15323.791393003628,463.50736128,EIN,PMI,27,Palma De Mallorca
0.6681200424386072,103,RYR,43.0,77696.60577017942,15323.791393003628,463.50736128,EMA,AGP,47,Málaga
0.6690970995272582,103,RYR,43.0,77696.60577017942,15323.791393003628,463.50736128,EMA,AGP,47,Málaga
0.6681200424386072,103,RYR,43.0,77696.60577017942,15323.791393003628,463.50736128,EMA,ALC,47,Alicante
0.6681200424386072,103,RYR,43.0,77696.60577017942,15323.791393003628,463.50736128,EMA,ALC,47,Alicante
0.6740034067746676,103,RYR,43.0,77696.60577017942,15323.791393003628,388.88697393,EMA,FUE,47,Fuerteventura Island
0.6749888860217408,103,RYR,43.0,77696.60577017942,15323.791393003628,463.50736128,EMA,LPA,47,Gran Canaria Island
0.6296643608561396,97,ABR,43.0,73170.58990007188,14431.143350692737,494.000775,EMA,MAD,47,Madrid
0.6749888860217408,103,RYR,43.0,77696.60577017942,15323.791393003628,463.50736128,EMA,TFS,47,Tenerife Island
0.729793106040055,113,BCS,43.0,85239.96555369199,16811.538130188437,308.32583712,EMA,VIT,47,Alava
0.0017304819345739066,103,RAM,-1.0,83641.06590992374,15323.791393003628,463.50736128,EUN,LPA,2,Gran Canaria Island
0.667144382335672,103,RYR,-1.0,77696.60577017942,15323.791393003628,463.50736128,EXT,AGP,6,Málaga
3.16373890212041,188,IBE,-1.0,152665.24651520062,27969.63865907457,2107.4849999999997,EZE,MAD,9,Madrid
0.06736551748062046,10,QQE,-1.0,7543.359783512565,1487.7467371848181,325.552728336,FAB,BCN,22,Barcelona
0.04872402792339175,8,AHO,-1.0,6034.687826810052,1190.1973897478542,147.86496,FAB,PMI,22,Palma De Mallorca
0.054493013433047736,8,AHO,17.0,6496.3934687319415,1190.1973897478542,147.86496,FAO,AGP,69,Málaga
0.04185610070586968,6,NJE,17.0,4872.295101548957,892.6480423108903,35.172968628,FAO,XRY,69,Jerez de la Forntera
0.5352548151755534,103,MAY,14854.0,63379.66656037264,12567.436463192913,463.50736128,FCO,AGP,139,Málaga
0.2646203580643187,51,CYL,14854.0,31382.16499591267,6222.711258474161,251.89617407999998,FCO,AGP,139,Málaga
0.5328923304715563,103,RYR,14854.0,63379.66656037264,12567.436463192913,463.50736128,FCO,ALC,139,Alicante
0.5321071169458692,103,RYR,14854.0,63379.66656037264,12567.436463192913,488.62006149,FCO,BCN,139,Barcelona
0.49324536121386753,96,VLG,14854.0,59072.3105805415,11713.338839480766,547.298807,FCO,BCN,139,Barcelona
0.2630641926473961,51,CYL,14854.0,31382.16499591267,6222.711258474161,265.54383888999996,FCO,BCN,139,Barcelona
