sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf
0.5945509386897331,103,RYR,194,77696.60577017942,15323.791393003628,463.50736128,BHX,ALC,61,Alicante
0.5936816159103265,103,RYR,194,77696.60577017942,15323.791393003628,463.50736128,BHX,ALC,61,Alicante
0.592813540685797,103,RYR,194,77696.60577017942,15323.791393003628,488.62006149,BHX,BCN,61,Barcelona
0.49883149828215667,87,VLG,194,65627.23011655931,12943.396613507915,511.9668587,BHX,BCN,61,Barcelona
0.5997931706866222,103,RYR,194,77696.60577017942,15323.791393003628,388.88697393,BHX,FUE,61,Fuerteventura Island
0.5919467112948259,103,RYR,194,77696.60577017942,15323.791393003628,554.6302875,BHX,MAD,61,Madrid
0.592813540685797,103,RYR,194,77696.60577017942,15323.791393003628,463.50736128,BHX,PMI,61,Palma De Mallorca
0.16695210459405357,113,PVG,-1,91761.55774583868,16811.538130188437,801.4117214400001,BJL,BCN,1,Barcelona
0.39625395901022226,103,RYR,22,88999.4525147637,26715.440088934625,463.50736128,BLL,AGP,27,Málaga
0.3324477702473908,87,RYR,22,75174.2948425674,22565.46881298361,485.65424640000003,BLL,PMI,27,Palma De Mallorca
0.7087823384854985,103,RYR,120,51155.84711808149,19834.190369057524,463.50736128,BOD,AGP,45,Málaga
0.7067113212784495,103,MAY,120,51155.84711808149,19834.190369057524,463.50736128,BOD,PMI,45,Palma De Mallorca
2.926150958780445,188,IBE,-1,152665.24651520062,27969.63865907457,2107.4849999999997,BOG,MAD,79,Madrid
0.5936816159103265,103,RYR,-1,77696.60577017942,15323.791393003628,463.50736128,BOH,ALC,18,Alicante
0.5919467112948259,103,RYR,-1,77696.60577017942,15323.791393003628,463.50736128,BOH,PMI,18,Palma De Mallorca
0.33862062607318366,103,RYR,15,85566.7360960381,15632.194741793637,463.50736128,BRE,ALC,20,Alicante
0.33812118482597353,103,RYR,15,85566.7360960381,15632.194741793637,463.50736128,BRE,PMI,20,Palma De Mallorca
0.09488969960710972,21,SRN,1,17053.03285542135,3124.2681480881165,52.0991268,BRQ,ZAZ,6,Zaragoza
0.5936816159103265,103,RYR,301,77696.60577017942,15323.791393003628,463.50736128,BRS,AGP,52,Málaga
0.500293496553646,87,EZY,301,65627.23011655931,12943.396613507915,485.65424640000003,BRS,AGP,52,Málaga
0.5936816159103265,103,RYR,301,77696.60577017942,15323.791393003628,463.50736128,BRS,ALC,52,Alicante
0.5936816159103265,103,RYR,301,77696.60577017942,15323.791393003628,463.50736128,BRS,ALC,52,Alicante
0.5503228462090103,96,EZY,301,72416.25392172064,14282.368676974245,519.170304,BRS,ALC,52,Alicante
0.5487146481103722,96,EZY,301,72416.25392172064,14282.368676974245,547.298807,BRS,BCN,52,Barcelona
0.592813540685797,103,RYR,301,77696.60577017942,15323.791393003628,388.88697393,BRS,IBZ,52,Ibiza
0.59891632630837,103,RYR,301,77696.60577017942,15323.791393003628,463.50736128,BRS,LPA,52,Gran Canaria Island
0.41236737191324946,72,EZY,301,54312.19044129046,10711.77650773069,503.28,BRS,MAD,52,Madrid
0.5495181697368341,96,EZY,301,72416.25392172064,14282.368676974245,519.170304,BRS,PMI,52,Palma De Mallorca
0.592813540685797,103,RYR,301,77696.60577017942,15323.791393003628,388.88697393,BRS,VLC,52,Valencia
0.8991779624971802,103,RYR,6325,83641.06590992374,15323.791393003628,463.50736128,BRU,AGP,125,Málaga
